rule,action,phase,signals,frequency,edge_6h,t_6h,hit_6h,edge_24h,t_24h,hit_24h,edge_72h,t_72h,hit_72h,edge_mean,good_horizons,enough_signals,selective,keep,bars,reason
RESISTANCE_MAJOR,EXIT,market,5817,0.332590051457976,-0.04633147937581779,-1.852380126815808,0.5048994326972667,-0.09016958301218514,-1.817601764012759,0.5122161046111493,-0.13349095677258105,-1.6296057682985934,0.4727619708535739,-0.08999733972019465,0,True,True,False,17490,no consistent edge
BUY_LIQUIDITY_GRAB,LONG,market,139,0.00794739851343625,-0.1010589694290335,-0.613334056385079,0.5107913669064749,-0.0008208437591420426,-0.002572006379359068,0.5683453237410072,-0.1829231917662234,-0.34232304032686,0.4744525547445255,-0.09493433498479964,0,True,True,False,17490,no consistent edge
FIB_382_SHORT,SHORT,market,2014,0.11515151515151516,0.017341539410760623,0.4463284396459205,0.49528067560854444,-0.1270974763517766,-1.6233447030008874,0.4975124378109453,-0.2003598627945966,-1.3863020126326877,0.5087194818136522,-0.1033719332452042,0,True,True,False,17490,no consistent edge
BULL_STRUCTURE,LONG,market,9585,0.5480274442538593,-0.04583846874804409,-2.370059966033851,0.4649973917579551,-0.13907830212808678,-3.615649802295714,0.4676056338028169,-0.19018755311902402,-2.8735431623382666,0.47363474992168736,-0.12503477466505164,0,True,False,False,17490,fires too often
ENTRY_Q2,LONG,score,992,0.056718124642652946,-0.023843677875653994,-0.3927587379828881,0.4717741935483871,-0.09788821701669778,-0.7476703528190322,0.4863498483316481,-0.26495196721839687,-1.253416793853343,0.48530901722391084,-0.1288946207035829,0,True,True,False,17490,no consistent edge
ENERGY_EXTREME,EXIT100,market,194,0.011092052601486563,-0.29957587900142457,-1.7511518915335915,0.5,-0.0904942497775929,-0.285306295326552,0.5103092783505154,-0.0239571005443997,-0.057240128561682334,0.5025906735751295,-0.13800907644113905,0,True,True,False,17490,no consistent edge
FIB_382_LONG,LONG,market,1061,0.06066323613493425,0.03997972416363964,0.7095486997000736,0.4825636192271442,-0.01680689830583848,-0.1471963742572645,0.5004712535344015,-0.44705663203977,-2.2081176522801416,0.4744318181818182,-0.14129460206065628,0,True,True,False,17490,no consistent edge
HAMMER_BUY,LONG,market,521,0.029788450543167526,-0.022022697917596937,-0.23965805477711763,0.4740882917466411,-0.253551617061278,-1.460799096843671,0.4480769230769231,-0.17766497542949822,-0.5922779026751237,0.4874274661508704,-0.1510797634694577,0,True,True,False,17490,no consistent edge
MOMENTUM_END,EXIT50,market,4613,0.26375071469411093,-0.034664627126013384,-1.0913700154227286,0.4947939262472885,-0.1847989752633159,-2.9639922447311733,0.49304952215464815,-0.23783641554081814,-2.178684092967289,0.4915291051259774,-0.15243333931004913,0,True,True,False,17490,no consistent edge
BARRIER_L1,EXIT10,market,4855,0.2775871926815323,-0.039000799182335455,-1.273340973931625,0.525643666323378,-0.13683421893269548,-2.262932820247181,0.5066996495567924,-0.28426719047021365,-2.8381007185404217,0.49215200330441966,-0.1533674028617482,0,True,True,False,17490,no consistent edge
